tool_long_description,tool,NUMBER_OF_SAMPLES,nb_of_found_PanVar,recall_PVR,recall_AvgAR
medaka_CU928163.2,medaka,12,12488.0,0.8655992236778263,0.8590143480973154
medaka_NC_011742.1,medaka,12,10599.0,0.7346641713453941,0.7244287331623618
medaka_CP010171.1,medaka,12,10999.0,0.7623899632633258,0.7566599662669532
medaka_NC_007779.1,medaka,12,10886.0,0.75455742704651,0.7493819458884959
medaka_NZ_CP016007.1,medaka,12,9583.0,0.6642406598738476,0.6584933342575366
medaka_NZ_CP013483.1,medaka,12,11408.0,0.7907395854994108,0.7843915343915353
medaka_CP010116.1,medaka,12,12124.0,0.8403687530325085,0.8349102377486641
medaka_CP010226.1,medaka,12,10505.0,0.7281486102446801,0.7217659018969074
medaka_CP010170.1,medaka,12,11046.0,0.7656477438136827,0.7594325454587466
nanopolish_NC_011993.1,nanopolish,12,8950.0,0.6203645941637208,0.6268686028511368
nanopolish_NC_022648.1,nanopolish,12,9774.0,0.6774797255146601,0.6878422402439863
nanopolish_CP010121.1,nanopolish,12,11323.0,0.7848478547168504,0.7930327395392899
nanopolish_NZ_LM995446.1,nanopolish,12,10154.0,0.703819227836695,0.7100979644647817
nanopolish_NZ_LT632320.1,nanopolish,12,9894.0,0.6857974630900395,0.6922841431575086
nanopolish_NZ_CP018109.1,nanopolish,12,11019.0,0.7637762528592222,0.7716723273491843
nanopolish_NC_017646.1,nanopolish,12,12697.0,0.8800859499549456,0.8860643238372481
nanopolish_CP018206.1,nanopolish,12,12053.0,0.8354474249670756,0.8425521591460462
nanopolish_NZ_CP011134.1,nanopolish,12,12386.0,0.8585291467387537,0.8657667336706509
nanopolish_NZ_CP008697.1,nanopolish,12,13286.0,0.9209121785541,0.9252327811279741
nanopolish_CP010230.1,nanopolish,12,11064.0,0.7668954044499896,0.7709560777246273
nanopolish_NC_010498.1,nanopolish,12,12486.0,0.8654605947182367,0.8693826390332919
nanopolish_NZ_CP015228.1,nanopolish,12,11650.0,0.8075136896097594,0.8105693029273708
nanopolish_NZ_CP009859.1,nanopolish,12,13189.000000000002,0.9141886740140016,0.9182435710819964
nanopolish_NZ_HG941718.1,nanopolish,12,9900.0,0.6862133499688085,0.6936357755135033
nanopolish_CU928163.2,nanopolish,12,12084.0,0.8375961738407153,0.8437824911624021
nanopolish_NC_011742.1,nanopolish,12,9964.0,0.6906494766756776,0.695986691619879
nanopolish_CP010171.1,nanopolish,12,10457.0,0.7248215152145283,0.7326656038446494
nanopolish_NC_007779.1,nanopolish,12,10401.0,0.7209399043460178,0.7272070885608052
nanopolish_NZ_CP016007.1,nanopolish,12,8980.0,0.6224440285575656,0.6306346895866559
nanopolish_NZ_CP013483.1,nanopolish,12,10815.0,0.7496360989810772,0.7588433723804924
nanopolish_CP010116.1,nanopolish,12,11712.0,0.8118111873570388,0.8191758508352394
nanopolish_CP010226.1,nanopolish,12,9954.0,0.6899563318777293,0.6958884961068417
nanopolish_CP010170.1,nanopolish,12,10533.0,0.7300894156789354,0.7356114692359297
pandora_nanopore_withdenovo,pandora with denovo,13,13935.000000000002,0.8135801027557217,0.8722559551611302
medaka_NC_011993.1,medaka,13,12872.0,0.7515179822512844,0.7445613121115274
medaka_NC_022648.1,medaka,13,13139.0,0.7671064922933208,0.7594312506736692
medaka_CP010121.1,medaka,13,14757.0,0.8615716954694068,0.8554279093162773
medaka_NZ_LM995446.1,medaka,13,14252.0,0.8320878094348435,0.826896130492579
medaka_NZ_LT632320.1,medaka,13,13196.999999999998,0.7704927603923399,0.7620225990730498
medaka_NZ_CP018109.1,medaka,13,14329.0,0.8365833722559551,0.831077318291235
medaka_NC_017646.1,medaka,13,16101.0,0.9400397010742644,0.932288111234864
medaka_CP018206.1,medaka,13,15611.999999999998,0.9114899579635684,0.9058581539898668
medaka_NZ_CP011134.1,medaka,13,16098.0,0.9398645492760392,0.9145214313943012
medaka_NZ_CP008697.1,medaka,13,16499.0,0.9632765063054648,0.9565668451119148
medaka_CP010230.1,medaka,13,15064.0,0.8794955628211116,0.8735808213271992
medaka_NC_010498.1,medaka,13,15880.0,0.9271368519383466,0.9200499407178498
medaka_NZ_CP015228.1,medaka,13,15552.0,0.9079869219990658,0.9012772608055148
medaka_NZ_CP009859.1,medaka,13,16450.0,0.960415693601121,0.9540877735062656
medaka_NZ_HG941718.1,medaka,13,13209.999999999998,0.7712517515179822,0.7629657241404169
medaka_CU928163.2,medaka,13,15461.000000000002,0.9026739841195704,0.8956903675493106
medaka_NC_011742.1,medaka,13,13466.0,0.7861980382998599,0.7783206984514816
medaka_CP010171.1,medaka,13,14512.000000000002,0.8472676319476881,0.8414337297452648
medaka_NC_007779.1,medaka,13,14432.999999999998,0.8426553012610929,0.8371402651528743
medaka_NZ_CP016007.1,medaka,13,12807.999999999998,0.7477814105558149,0.7412918118779902
medaka_NZ_CP013483.1,medaka,13,14719.0,0.8593531060252219,0.8517676858405475
medaka_CP010116.1,medaka,13,15172.0,0.8858010275572162,0.8810719290051365
medaka_CP010226.1,medaka,13,13883.0,0.8105441382531527,0.8041353788668112
medaka_CP010170.1,medaka,13,14337.0,0.8370504437178888,0.8306192289728005
nanopolish_NC_011993.1,nanopolish,13,12327.0,0.7196987389070528,0.7235161498940105
nanopolish_NC_022648.1,nanopolish,13,12554.0,0.7329518916394209,0.7361180972227206
nanopolish_CP010121.1,nanopolish,13,14403.0,0.8409037832788416,0.8442137031581197
nanopolish_NZ_LM995446.1,nanopolish,13,13895.0,0.8112447454460533,0.8131759062982767
