tool_long_description,tool,NUMBER_OF_SAMPLES,nb_of_found_PanVar,recall_PVR,recall_AvgAR
snippy_CP018206.1,snippy,10,16661.0,0.8078060606060606,0.8263369696969634
snippy_NZ_CP011134.1,snippy,10,16285.0,0.7895757575757576,0.8082375757575619
snippy_NZ_CP008697.1,snippy,10,17380.0,0.8426666666666667,0.8587878787878701
snippy_CP010230.1,snippy,10,15180.0,0.736,0.7486545454545418
snippy_NC_010498.1,snippy,10,16954.0,0.8220121212121212,0.8355442424242335
snippy_NZ_CP015228.1,snippy,10,15971.0,0.7743515151515151,0.7914036363636247
snippy_NZ_CP009859.1,snippy,10,17291.0,0.8383515151515152,0.8551709090908988
snippy_NZ_HG941718.1,snippy,10,15409.0,0.7471030303030303,0.7635830303030163
snippy_CU928163.2,snippy,10,16391.0,0.7947151515151515,0.8108654545454501
snippy_NC_011742.1,snippy,10,15618.0,0.7572363636363636,0.7717866666666539
snippy_CP010171.1,snippy,10,14450.0,0.7006060606060606,0.7135660606060549
snippy_NC_007779.1,snippy,10,14321.0,0.6943515151515152,0.7073357575757523
snippy_NZ_CP016007.1,snippy,10,14007.0,0.6791272727272727,0.6915587878787811
snippy_NZ_CP013483.1,snippy,10,14788.0,0.7169939393939394,0.7324799999999907
snippy_CP010116.1,snippy,10,15928.0,0.7722666666666667,0.7876945454545374
snippy_CP010226.1,snippy,10,14027.999999999998,0.6801454545454545,0.6917236363636314
snippy_CP010170.1,snippy,10,14132.0,0.6851878787878788,0.6951951515151479
samtools_NC_011993.1,samtools,10,14251.0,0.6909575757575758,0.699088484848481
samtools_NC_022648.1,samtools,10,15631.0,0.7578666666666667,0.7667490909090813
samtools_CP010121.1,samtools,10,16188.0,0.7848727272727273,0.7936775757575726
samtools_NZ_LM995446.1,samtools,10,14416.0,0.6989575757575758,0.7065406060606022
samtools_NZ_LT632320.1,samtools,10,15807.0,0.7664,0.772096969696955
samtools_NZ_CP018109.1,samtools,10,15880.0,0.7699393939393939,0.7777890909090814
samtools_NC_017646.1,samtools,10,16762.0,0.8127030303030303,0.818230303030297
samtools_CP018206.1,samtools,10,17115.0,0.8298181818181818,0.8363199999999964
samtools_NZ_CP011134.1,samtools,10,16742.0,0.8117333333333333,0.8180799999999906
samtools_NZ_CP008697.1,samtools,10,17690.0,0.8576969696969697,0.8661284848484772
samtools_CP010230.1,samtools,10,15446.0,0.7488969696969697,0.7551030303030276
samtools_NC_010498.1,samtools,10,17313.0,0.8394181818181818,0.8451199999999927
samtools_NZ_CP015228.1,samtools,10,16380.0,0.7941818181818182,0.80223999999999
samtools_NZ_CP009859.1,samtools,10,17669.0,0.8566787878787879,0.8635830303030205
samtools_NZ_HG941718.1,samtools,10,15821.0,0.7670787878787879,0.7741381818181716
samtools_CU928163.2,samtools,10,16783.0,0.8137212121212121,0.8201939393939348
samtools_NC_011742.1,samtools,10,16068.0,0.7790545454545454,0.7845575757575649
samtools_CP010171.1,samtools,10,14703.999999999998,0.7129212121212121,0.7199660606060567
samtools_NC_007779.1,samtools,10,14544.0,0.7051636363636363,0.7123199999999961
samtools_NZ_CP016007.1,samtools,10,14311.0,0.6938666666666666,0.701658181818177
samtools_NZ_CP013483.1,samtools,10,15063.0,0.7303272727272727,0.7390981818181758
samtools_CP010116.1,samtools,10,16189.0,0.7849212121212121,0.7936048484848421
samtools_CP010226.1,samtools,10,14247.0,0.6907636363636364,0.6969454545454516
samtools_CP010170.1,samtools,10,14354.999999999998,0.696,0.7011199999999974
pandora_illumina_withdenovo_global_genotyping,pandora with denovo,11,16626.0,0.8260135135135135,0.8564415016620551
snippy_NC_011993.1,snippy,11,14505.0,0.7206379173290938,0.7321009177626722
snippy_NC_022648.1,snippy,11,15675.0,0.7787658982511924,0.7938331044948471
snippy_CP010121.1,snippy,11,16302.0,0.8099165341812401,0.8207698005492012
snippy_NZ_LM995446.1,snippy,11,15361.0,0.7631657392686805,0.7750668449197742
snippy_NZ_LT632320.1,snippy,11,15720.0,0.7810015898251192,0.7990948836536846
snippy_NZ_CP018109.1,snippy,11,16153.0,0.8025139109697933,0.8141259575082893
snippy_NC_017646.1,snippy,11,17274.0,0.8582074721780604,0.8717300187888288
snippy_CP018206.1,snippy,11,17163.0,0.8526927662957074,0.8656326781326683
snippy_NZ_CP011134.1,snippy,11,17256.0,0.8573131955484896,0.8719106807341899
snippy_NZ_CP008697.1,snippy,11,18237.0,0.9060512718600954,0.9164890157537041
snippy_CP010230.1,snippy,11,16000.000000000002,0.7949125596184421,0.8074685648214956
snippy_NC_010498.1,snippy,11,17452.0,0.8670508744038156,0.8770008310449304
snippy_NZ_CP015228.1,snippy,11,16753.0,0.8323231319554849,0.8451049645902395
snippy_NZ_CP009859.1,snippy,11,18212.0,0.9048092209856916,0.9154231102760312
snippy_NZ_HG941718.1,snippy,11,15871.0,0.7885035771065183,0.8016828660210785
snippy_CU928163.2,snippy,11,16981.0,0.8436506359300477,0.855005239196403
snippy_NC_011742.1,snippy,11,15742.0,0.7820945945945946,0.7917374259285829
snippy_CP010171.1,snippy,11,15387.0,0.7644574721780604,0.7769321795056982
snippy_NC_007779.1,snippy,11,15528.0,0.7714626391096979,0.7833637447607914
snippy_NZ_CP016007.1,snippy,11,14546.0,0.722674880763116,0.7342643445584514
snippy_NZ_CP013483.1,snippy,11,15808.0,0.7853736089030207,0.7973379462349891
snippy_CP010116.1,snippy,11,16557.0,0.8225854531001591,0.8351098424627739
snippy_CP010226.1,snippy,11,14845.0,0.7375298092209857,0.7501309799103799
snippy_CP010170.1,snippy,11,15354.0,0.7628179650238474,0.7723794984824305
samtools_NC_011993.1,samtools,11,14777.000000000002,0.7341514308426074,0.7401855398178866
samtools_NC_022648.1,samtools,11,16041.0,0.7969495230524642,0.8032275256539799
samtools_CP010121.1,samtools,11,16522.0,0.8208465818759937,0.8263025726260939
samtools_NZ_LM995446.1,samtools,11,15584.0,0.7742448330683624,0.7803241075299807
samtools_NZ_LT632320.1,samtools,11,16219.0,0.8057929252782194,0.8104269041768867
samtools_NZ_CP018109.1,samtools,11,16475.0,0.8185115262321144,0.8229287107963429
samtools_NC_017646.1,samtools,11,17622.0,0.8754968203497615,0.8797920581008707
samtools_CP018206.1,samtools,11,17459.0,0.8673986486486487,0.8726468781615748
samtools_NZ_CP011134.1,samtools,11,17620.0,0.8753974562798092,0.8802662957074568
samtools_NZ_CP008697.1,samtools,11,18513.0,0.9197635135135136,0.9239051886110586
samtools_CP010230.1,samtools,11,16270.0,0.8083267090620032,0.8136562364503467
samtools_NC_010498.1,samtools,11,17794.0,0.8840421303656598,0.8863952522040607
samtools_NZ_CP015228.1,samtools,11,17087.0,0.8489169316375199,0.8538083538083385
samtools_NZ_CP009859.1,samtools,11,18530.0,0.920608108108108,0.9232638387049988
samtools_NZ_HG941718.1,samtools,11,16227.0,0.8061903815580286,0.8111314857638221
samtools_CU928163.2,samtools,11,17245.000000000004,0.8567666931637521,0.8617529628558932
samtools_NC_011742.1,samtools,11,16074.0,0.7985890302066773,0.8016873825697178
samtools_CP010171.1,samtools,11,15655.0,0.7777722575516693,0.7834585922821153
samtools_NC_007779.1,samtools,11,15752.0,0.7825914149443561,0.7886797225032429
samtools_NZ_CP016007.1,samtools,11,14826.999999999998,0.7366355325914149,0.7434239051886039
samtools_NZ_CP013483.1,samtools,11,16082.0,0.7989864864864865,0.804717986703269
samtools_CP010116.1,samtools,11,16797.0,0.8345091414944356,0.8406109986992256
samtools_CP010226.1,samtools,11,15088.999999999998,0.7496522257551669,0.7562554198583541
samtools_CP010170.1,samtools,11,15555.0,0.7728040540540541,0.7784045743604493
pandora_illumina_withdenovo_global_genotyping,pandora with denovo,12,11690.0,0.8102862688015526,0.8478720454702884
snippy_NC_011993.1,snippy,12,8830.0,0.6120468565883413,0.6225480002772581
snippy_NC_022648.1,snippy,12,9659.0,0.6695085603382547,0.6837815669693385
snippy_CP010121.1,snippy,12,11245.0,0.7794413252928537,0.79047387999353
snippy_NZ_LM995446.1,snippy,12,10069.0,0.6979274970541346,0.708896513481667
snippy_NZ_LT632320.1,snippy,12,9497.0,0.6582796146114923,0.6831173032046426
snippy_NZ_CP018109.1,snippy,12,10922.0,0.7570527483191238,0.7693445160694076
snippy_NC_017646.1,snippy,12,12625.0,0.8750953074097179,0.8863415817564264
snippy_CP018206.1,snippy,12,11924.0,0.8265058570735426,0.8402359002795688
snippy_NZ_CP011134.1,snippy,12,12233.0,0.8479240313301448,0.8634158175642871
snippy_NZ_CP008697.1,snippy,12,13183.0,0.9137727871352326,0.9240197777315649
snippy_CP010230.1,snippy,12,10887.0,0.7546267415263048,0.7678253737205699
snippy_NC_010498.1,snippy,12,12394.0,0.8590836625771123,0.8680714401238396
snippy_NZ_CP015228.1,snippy,12,11498.0,0.7969778886809454,0.8084783161202371
snippy_NZ_CP009859.1,snippy,12,13096.999999999998,0.9078117418728772,0.9166435618400656
snippy_NZ_HG941718.1,snippy,12,9772.0,0.6773410965550704,0.6895346687923101
snippy_CU928163.2,snippy,12,11958.0,0.8288625493865669,0.8403225433793103
snippy_NC_011742.1,snippy,12,9849.0,0.6826783114992722,0.6934740417273169
snippy_CP010171.1,snippy,12,10388.0,0.7200388161086851,0.7306554839305944
snippy_NC_007779.1,snippy,12,10318.0,0.7151868025230471,0.7262193572237245
snippy_NZ_CP016007.1,snippy,12,8888.0,0.6160670964164414,0.6269090362976827
snippy_NZ_CP013483.1,snippy,12,10715.0,0.7427046510015942,0.7559321642291066
snippy_CP010116.1,snippy,12,11583.0,0.8028696194635059,0.8170155495483009
snippy_CP010226.1,snippy,12,9881.0,0.6848963748527067,0.6950047364894539
snippy_CP010170.1,snippy,12,10465.000000000004,0.7253760310528872,0.7332490007162498
samtools_NC_011993.1,samtools,12,9050.0,0.6272960421432037,0.6334823594648937
samtools_NC_022648.1,samtools,12,9939.0,0.6889166146808068,0.694721702363623
samtools_CP010121.1,samtools,12,11419.0,0.7915020447771539,0.7976074952057478
samtools_NZ_LM995446.1,samtools,12,10252.0,0.7106120468565883,0.716203414893372
samtools_NZ_LT632320.1,samtools,12,10060.0,0.6973036667359811,0.6996141493958107
samtools_NZ_CP018109.1,samtools,12,11175.0,0.7745893117072157,0.7793026963332657
samtools_NC_017646.1,samtools,12,12839.0,0.8899286060858114,0.893919964880663
samtools_CP018206.1,samtools,12,12158.0,0.8427254453455327,0.8476583258242641
samtools_NZ_CP011134.1,samtools,12,12552.0,0.8700353503846954,0.8739920519396488
samtools_NZ_CP008697.1,samtools,12,13373.999999999998,0.9270118527760448,0.9322393197939022
samtools_CP010230.1,samtools,12,11096.0,0.7691134678034242,0.7752535754719161
