tool,sample,recalls_wrt_truth_probes,ref,tool_and_ref
Snippy,Escherichia_coli_MSB1_3B,0.855202201211964,W3110,Snippy / W3110 (NC_007779.1)
Snippy,ST38,0.841685322312152,JJ1886,Snippy / JJ1886 (NC_022648.1)
Snippy,Escherichia_coli_MSB1_9D,0.9434038583775662,09-00049,Snippy / 09-00049 (NZ_CP015228.1)
Snippy,Escherichia_coli_MINF_7C,0.8790848898346779,C1,Snippy / C1 (CP010116.1)
Snippy,Escherichia_coli_MSB1_7A,0.9164835863772364,ST648,Snippy / ST648 (NZ_CP008697.1)
Snippy,Escherichia_coli_MSB2_1A,0.8648086217199409,H7,Snippy / H7 (CP010171.1)
Snippy,Escherichia_coli_MSB1_7C,0.860572541446055,H6,Snippy / H6 (CP010170.1)
Snippy,Escherichia_coli_MINF_8D,0.9181734055689412,CE10,Snippy / CE10 (NC_017646.1)
Snippy,Escherichia_coli_MSB1_1A,0.9609284147512408,VR50,Snippy / VR50 (NZ_CP011134.1)
Snippy,Escherichia_coli_MINF_9A,0.8958801741327858,MRSN346647,Snippy / MRSN346647 (CP018206.1)
Snippy,Escherichia_coli_MSB1_7A,0.91535197792966,ECONIH1,Snippy / ECONIH1 (NZ_CP009859.1)
Snippy,Escherichia_coli_MSB1_8G,0.8842017733703276,EC958,Snippy / EC958 (NZ_HG941718.1)
Snippy,Escherichia_coli_MINF_7C,0.9130888376476723,MRSN346647,Snippy / MRSN346647 (CP018206.1)
Snippy,Escherichia_coli_MSB2_1A,0.8798657049702789,C4,Snippy / C4 (CP010121.1)
Snippy,Escherichia_coli_MINF_8D,0.9321573559704678,ST648,Snippy / ST648 (NZ_CP008697.1)
Snippy,Escherichia_coli_MSB1_7C,0.8643943668084367,S88,Snippy / S88 (NC_011742.1)
Snippy,H131800734,0.9320594964369462,CE10,Snippy / CE10 (NC_017646.1)
Snippy,Escherichia_coli_MINF_1A,0.894527086818631,EC958,Snippy / EC958 (NZ_HG941718.1)
Snippy,Escherichia_coli_MSB1_3B,0.907740460243582,C1,Snippy / C1 (CP010116.1)
Snippy,Escherichia_coli_MINF_1A,0.8423428951600922,S1,Snippy / S1 (CP010226.1)
Snippy,Escherichia_coli_MSB1_9D,0.9260601457829436,ECONIH1,Snippy / ECONIH1 (NZ_CP009859.1)
Pandora illumina no denovo,Escherichia_coli_MINF_9A,0.8986290695692405,PRG,Pandora illumina no denovo / PRG
Snippy,Escherichia_coli_MINF_7C,0.9117373340999756,CE10,Snippy / CE10 (NC_017646.1)
Snippy,CFT073,0.8853024032950594,UMN026,Snippy / UMN026 (CU928163.2)
Snippy,H131800734,0.9405007103285768,Y5,Snippy / Y5 (NZ_CP013483.1)
Snippy,CFT073,0.9077888519748984,CE10,Snippy / CE10 (NC_017646.1)
Snippy,Escherichia_coli_MSB1_3B,0.8353334522593235,S1,Snippy / S1 (CP010226.1)
Snippy,Escherichia_coli_MSB1_3B,0.9150354885966192,ECONIH1,Snippy / ECONIH1 (NZ_CP009859.1)
Snippy,Escherichia_coli_MSB1_8B,0.8614565651353223,NCTC_13441,Snippy / NCTC_13441 (NZ_LT632320.1)
Snippy,Escherichia_coli_MSB1_8B,0.8745121470959681,C4,Snippy / C4 (CP010121.1)
Snippy,Escherichia_coli_MSB1_7C,0.9115718036628764,ST648,Snippy / ST648 (NZ_CP008697.1)
Pandora illumina no denovo,H131800734,0.9053380194099424,PRG,Pandora illumina no denovo / PRG
Snippy,Escherichia_coli_MSB1_4I,0.8686276351632426,S88,Snippy / S88 (NC_011742.1)
Snippy,Escherichia_coli_MSB1_8G,0.8825303144414611,NCTC_13441,Snippy / NCTC_13441 (NZ_LT632320.1)
Snippy,Escherichia_coli_MSB1_3B,0.8588943126348053,EC958,Snippy / EC958 (NZ_HG941718.1)
Snippy,Escherichia_coli_MSB1_8B,0.8251904561441628,S1,Snippy / S1 (CP010226.1)
Snippy,Escherichia_coli_MSB1_4I,0.8444814213443191,MRSN346595,Snippy / MRSN346595 (NZ_CP018109.1)
Snippy,Escherichia_coli_MSB1_7A,0.8663853988058483,Y5,Snippy / Y5 (NZ_CP013483.1)
Snippy,Escherichia_coli_MINF_7C,0.8559463192275091,EcRV308Chr,Snippy / EcRV308Chr (NZ_LM995446.1)
Snippy,Escherichia_coli_MSB1_4I,0.8898887561895304,MRSN346647,Snippy / MRSN346647 (CP018206.1)
Snippy,Escherichia_coli_MSB1_9D,0.8886705905337394,LF82,Snippy / LF82 (NC_011993.1)
Snippy,Escherichia_coli_MSB1_3B,0.8610295747314706,S88,Snippy / S88 (NC_011742.1)
Snippy,063_STEC,0.8585440856794444,MRSN346595,Snippy / MRSN346595 (NZ_CP018109.1)
Snippy,CFT073,0.8452526665500961,C1,Snippy / C1 (CP010116.1)
Snippy,Escherichia_coli_MSB1_3B,0.9394477509473536,MRSN346647,Snippy / MRSN346647 (CP018206.1)
Snippy,H131800734,0.8942922674030501,NCTC_13441,Snippy / NCTC_13441 (NZ_LT632320.1)
Snippy,Escherichia_coli_MINF_1A,0.8622599585316858,H6,Snippy / H6 (CP010170.1)
Snippy,Escherichia_coli_MINF_1D,0.9025070285862404,ECONIH1,Snippy / ECONIH1 (NZ_CP009859.1)
Snippy,H131800734,0.9534634936755082,S1,Snippy / S1 (CP010226.1)
Snippy,Escherichia_coli_MSB2_1A,0.9236636019583382,LF82,Snippy / LF82 (NC_011993.1)
Snippy,Escherichia_coli_MINF_8D,0.9123059336528736,UMN026,Snippy / UMN026 (CU928163.2)
Snippy,Escherichia_coli_MSB1_1A,0.9710313873566424,MRSN346595,Snippy / MRSN346595 (NZ_CP018109.1)
Snippy,Escherichia_coli_MINF_1D,0.8424367094917484,W3110,Snippy / W3110 (NC_007779.1)
Snippy,Escherichia_coli_MSB1_4I,0.9021430200882972,UMN026,Snippy / UMN026 (CU928163.2)
Snippy,Escherichia_coli_MSB1_8B,0.8485530764947922,H7,Snippy / H7 (CP010171.1)
Snippy,Escherichia_coli_MINF_1D,0.8892208405059253,SMS-3-5,Snippy / SMS-3-5 (NC_010498.1)
Snippy,Escherichia_coli_MINF_9A,0.8617570744826205,NCTC_13441,Snippy / NCTC_13441 (NZ_LT632320.1)
Snippy,Escherichia_coli_MSB1_8G,0.9045084594860194,C1,Snippy / C1 (CP010116.1)
Snippy,ST38,0.8202404621381718,LF82,Snippy / LF82 (NC_011993.1)
Snippy,ST38,0.8398693322061671,S88,Snippy / S88 (NC_011742.1)
Snippy,Escherichia_coli_MSB1_9D,0.8945894110622233,C1,Snippy / C1 (CP010116.1)
Snippy,Escherichia_coli_MSB1_7C,0.910391893064838,ECONIH1,Snippy / ECONIH1 (NZ_CP009859.1)
Snippy,CFT073,0.9535699714402284,S88,Snippy / S88 (NC_011742.1)
Pandora illumina with denovo,Escherichia_coli_MSB1_1A,0.9121734062053876,PRG,Pandora illumina with denovo / PRG
