tool,sample,nb_of_samples,recalls_wrt_truth_probes,ref,tool_and_ref
Snippy,Escherichia_coli_MINF_7C,20,0.9971462310568786,LF82,Snippy / LF82 (NC_011993.1)
Snippy,Escherichia_coli_MINF_7C,20,0.9972446368825034,JJ1886,Snippy / JJ1886 (NC_022648.1)
Snippy,Escherichia_coli_MINF_7C,20,0.9981302893131272,C4,Snippy / C4 (CP010121.1)
Snippy,Escherichia_coli_MINF_7C,20,0.9915370989962604,EcRV308Chr,Snippy / EcRV308Chr (NZ_LM995446.1)
Snippy,Escherichia_coli_MINF_7C,20,0.9966542019287542,NCTC_13441,Snippy / NCTC_13441 (NZ_LT632320.1)
Snippy,Escherichia_coli_MINF_7C,20,0.9979334776618776,MRSN346595,Snippy / MRSN346595 (NZ_CP018109.1)
Snippy,Escherichia_coli_MINF_7C,20,0.9974414485337532,CE10,Snippy / CE10 (NC_017646.1)
Snippy,Escherichia_coli_MINF_7C,20,0.9976382601850028,MRSN346647,Snippy / MRSN346647 (CP018206.1)
Snippy,Escherichia_coli_MINF_7C,20,0.9957685494981304,VR50,Snippy / VR50 (NZ_CP011134.1)
Snippy,Escherichia_coli_MINF_7C,20,0.9984255067900021,ST648,Snippy / ST648 (NZ_CP008697.1)
Snippy,Escherichia_coli_MINF_7C,20,0.9940956504625074,S21,Snippy / S21 (CP010230.1)
Snippy,Escherichia_coli_MINF_7C,20,0.9973430427081283,SMS-3-5,Snippy / SMS-3-5 (NC_010498.1)
Snippy,Escherichia_coli_MINF_7C,20,0.9927179689037592,09-00049,Snippy / 09-00049 (NZ_CP015228.1)
Snippy,Escherichia_coli_MINF_7C,20,0.998327100964377,ECONIH1,Snippy / ECONIH1 (NZ_CP009859.1)
Snippy,Escherichia_coli_MINF_7C,20,0.9972446368825034,EC958,Snippy / EC958 (NZ_HG941718.1)
Snippy,Escherichia_coli_MINF_7C,20,0.999114347569376,UMN026,Snippy / UMN026 (CU928163.2)
Snippy,Escherichia_coli_MINF_7C,20,0.9972446368825034,S88,Snippy / S88 (NC_011742.1)
Snippy,Escherichia_coli_MINF_7C,20,0.9973430427081283,H7,Snippy / H7 (CP010171.1)
Snippy,Escherichia_coli_MINF_7C,20,0.9954733320212557,W3110,Snippy / W3110 (NC_007779.1)
Snippy,Escherichia_coli_MINF_7C,20,0.9972446368825034,NGF1,Snippy / NGF1 (NZ_CP016007.1)
Snippy,Escherichia_coli_MINF_7C,20,0.9963589844518796,Y5,Snippy / Y5 (NZ_CP013483.1)
Snippy,Escherichia_coli_MINF_7C,20,0.9709702814406612,C1,Snippy / C1 (CP010116.1)
Snippy,Escherichia_coli_MINF_7C,20,0.9856327494587679,S1,Snippy / S1 (CP010226.1)
Snippy,Escherichia_coli_MINF_7C,20,0.9979334776618776,H6,Snippy / H6 (CP010170.1)
Pandora illumina no denovo,Escherichia_coli_MINF_8D,20,0.9583620435082192,PRG,Pandora illumina no denovo / PRG
Pandora illumina with denovo,Escherichia_coli_MINF_8D,20,0.9583620435082192,PRG,Pandora illumina with denovo / PRG
Snippy,Escherichia_coli_MINF_8D,20,0.9967516487843292,LF82,Snippy / LF82 (NC_011993.1)
Snippy,Escherichia_coli_MINF_8D,20,0.9971453883256226,JJ1886,Snippy / JJ1886 (NC_022648.1)
Snippy,Escherichia_coli_MINF_8D,20,0.9959641697017424,C4,Snippy / C4 (CP010121.1)
Snippy,Escherichia_coli_MINF_8D,20,0.9913377300915444,EcRV308Chr,Snippy / EcRV308Chr (NZ_LM995446.1)
