tool,sample,nb_of_samples,recalls_wrt_truth_probes,ref,tool_and_ref
Snippy,Escherichia_coli_MINF_8D,2,0.2637040979244279,CE10,Snippy / CE10 (NC_017646.1)
Snippy,Escherichia_coli_MINF_8D,2,0.2488025545502927,MRSN346647,Snippy / MRSN346647 (CP018206.1)
Snippy,Escherichia_coli_MINF_8D,2,0.3531133581692389,VR50,Snippy / VR50 (NZ_CP011134.1)
Snippy,Escherichia_coli_MINF_8D,2,0.37200638637573175,ST648,Snippy / ST648 (NZ_CP008697.1)
Snippy,Escherichia_coli_MINF_8D,2,0.1961149547631719,S21,Snippy / S21 (CP010230.1)
Snippy,Escherichia_coli_MINF_8D,2,0.33821181479510376,SMS-3-5,Snippy / SMS-3-5 (NC_010498.1)
Snippy,Escherichia_coli_MINF_8D,2,0.2993613624268228,09-00049,Snippy / 09-00049 (NZ_CP015228.1)
Snippy,Escherichia_coli_MINF_8D,2,0.2881852048962214,ECONIH1,Snippy / ECONIH1 (NZ_CP009859.1)
Snippy,Escherichia_coli_MINF_8D,2,0.2506652474720596,EC958,Snippy / EC958 (NZ_HG941718.1)
Snippy,Escherichia_coli_MINF_8D,2,0.2237892496008515,UMN026,Snippy / UMN026 (CU928163.2)
Snippy,Escherichia_coli_MINF_8D,2,0.2722192655667908,S88,Snippy / S88 (NC_011742.1)
Snippy,Escherichia_coli_MINF_8D,2,0.30282064928153274,H7,Snippy / H7 (CP010171.1)
Snippy,Escherichia_coli_MINF_8D,2,0.2205960617349654,W3110,Snippy / W3110 (NC_007779.1)
Snippy,Escherichia_coli_MINF_8D,2,0.1772219265566791,NGF1,Snippy / NGF1 (NZ_CP016007.1)
Snippy,Escherichia_coli_MINF_8D,2,0.3890367216604577,Y5,Snippy / Y5 (NZ_CP013483.1)
Snippy,Escherichia_coli_MINF_8D,2,0.2530601383714742,C1,Snippy / C1 (CP010116.1)
Snippy,Escherichia_coli_MINF_8D,2,0.199308142629058,S1,Snippy / S1 (CP010226.1)
Snippy,Escherichia_coli_MINF_8D,2,0.2168706758914316,H6,Snippy / H6 (CP010170.1)
Pandora illumina no denovo,Escherichia_coli_MINF_9A,2,0.7015542563810067,PRG,Pandora illumina no denovo / PRG
