tool,sample,recalls_wrt_truth_probes,ref,tool_and_ref
Nanopolish,Escherichia_coli_MINF_1A,0.8426560551934419,S1 (CP010226.1),Nanopolish / S1 (CP010226.1)
Nanopolish,Escherichia_coli_MSB1_7A,0.8618870184663006,EC958 (NZ_HG941718.1),Nanopolish / EC958 (NZ_HG941718.1)
Nanopolish,Escherichia_coli_MSB1_8G,0.9146022555464716,C4 (CP010121.1),Nanopolish / C4 (CP010121.1)
Nanopolish,CFT073,0.9275707562750896,EC958 (NZ_HG941718.1),Nanopolish / EC958 (NZ_HG941718.1)
Nanopolish,Escherichia_coli_MINF_1A,0.8606856544854361,W3110 (NC_007779.1),Nanopolish / W3110 (NC_007779.1)
Nanopolish,Escherichia_coli_MSB1_1A,0.9263012657158546,H7 (CP010171.1),Nanopolish / H7 (CP010171.1)
Nanopolish,Escherichia_coli_MSB1_9D,0.8826957845001472,JJ1886 (NC_022648.1),Nanopolish / JJ1886 (NC_022648.1)
Nanopolish,Escherichia_coli_MSB1_7C,0.8567285886348593,H7 (CP010171.1),Nanopolish / H7 (CP010171.1)
Nanopolish,Escherichia_coli_MINF_1D,0.8733220110276155,UMN026 (CU928163.2),Nanopolish / UMN026 (CU928163.2)
Nanopolish,Escherichia_coli_MSB1_8G,0.8763061226775375,NGF1 (NZ_CP016007.1),Nanopolish / NGF1 (NZ_CP016007.1)
Nanopolish,Escherichia_coli_MSB1_3B,0.8611589369068888,EC958 (NZ_HG941718.1),Nanopolish / EC958 (NZ_HG941718.1)
Nanopolish,Escherichia_coli_MSB1_4E,0.9812090328695496,JJ1886 (NC_022648.1),Nanopolish / JJ1886 (NC_022648.1)
Nanopolish,Escherichia_coli_MSB1_4I,0.8618030635278077,C1 (CP010116.1),Nanopolish / C1 (CP010116.1)
Nanopolish,Escherichia_coli_MSB1_7C,0.8569510302846168,MRSN346595 (NZ_CP018109.1),Nanopolish / MRSN346595 (NZ_CP018109.1)
Nanopolish,063_STEC,0.910012724669954,ECONIH1 (NZ_CP009859.1),Nanopolish / ECONIH1 (NZ_CP009859.1)
Nanopolish,Escherichia_coli_MSB1_8G,0.9062503499792812,S1 (CP010226.1),Nanopolish / S1 (CP010226.1)
Nanopolish,Escherichia_coli_MSB1_4I,0.8459861988260144,MRSN346595 (NZ_CP018109.1),Nanopolish / MRSN346595 (NZ_CP018109.1)
Nanopolish,H131800734,0.9362567076806332,MRSN346595 (NZ_CP018109.1),Nanopolish / MRSN346595 (NZ_CP018109.1)
Nanopolish,Escherichia_coli_MSB1_8B,0.8641885780866788,JJ1886 (NC_022648.1),Nanopolish / JJ1886 (NC_022648.1)
Nanopolish,Escherichia_coli_MSB1_6C,0.9164032814618884,UMN026 (CU928163.2),Nanopolish / UMN026 (CU928163.2)
Nanopolish,Escherichia_coli_MSB1_7C,0.9757375839581592,UMN026 (CU928163.2),Nanopolish / UMN026 (CU928163.2)
Nanopolish,ST38,0.8494913202190755,JJ1886 (NC_022648.1),Nanopolish / JJ1886 (NC_022648.1)
Nanopolish,Escherichia_coli_MSB1_8B,0.9545285412032471,ST648 (NZ_CP008697.1),Nanopolish / ST648 (NZ_CP008697.1)
Nanopolish,H131800734,0.9053949579352468,C1 (CP010116.1),Nanopolish / C1 (CP010116.1)
Nanopolish,Escherichia_coli_MSB1_8B,0.9533144842159011,ECONIH1 (NZ_CP009859.1),Nanopolish / ECONIH1 (NZ_CP009859.1)
Nanopolish,H131800734,0.9342226507783904,MRSN346647 (CP018206.1),Nanopolish / MRSN346647 (CP018206.1)
Pandora nanopore with denovo,Escherichia_coli_MSB1_8G,0.8865311173578524,PRG,Pandora nanopore with denovo / PRG
Nanopolish,Escherichia_coli_MSB1_9D,0.9242068591650454,MRSN346647 (CP018206.1),Nanopolish / MRSN346647 (CP018206.1)
Pandora nanopore with denovo,Escherichia_coli_MINF_1A,0.8817740195476773,PRG,Pandora nanopore with denovo / PRG
Pandora nanopore with denovo,Escherichia_coli_MSB1_6C,0.8573691913156729,PRG,Pandora nanopore with denovo / PRG
Nanopolish,Escherichia_coli_MSB1_8G,0.933044763749986,H7 (CP010171.1),Nanopolish / H7 (CP010171.1)
Pandora nanopore with denovo,Escherichia_coli_MSB2_1A,0.8734820546289962,PRG,Pandora nanopore with denovo / PRG
Nanopolish,Escherichia_coli_MSB1_6C,0.91620993837189,ECONIH1 (NZ_CP009859.1),Nanopolish / ECONIH1 (NZ_CP009859.1)
Nanopolish,Escherichia_coli_MSB2_1A,0.930894660554258,NCTC_13441 (NZ_LT632320.1),Nanopolish / NCTC_13441 (NZ_LT632320.1)
